dataset,horizon,mode,well,chronos,deeponet,lstm,patchtst,tcn,timesfm,tirex
ganymede,7,multi_well,,0.15899976247842273,0.02783043714932143,0.0219046290860478,0.04318393698157531,0.019775951079374587,0.17884979618575175,0.1572623072263178
ganymede,7,per_well,49_22-Z01Z,4.060618299344939e-09,0.005617622763273522,0.0008103687544053984,0.11050238093559799,0.002381061050426724,0.000746437145294745,1.4874806918655327e-09
ganymede,7,per_well,49_22-Z02Z,0.24303809627773448,0.11148580665433135,0.019814118964777243,0.03836850405001538,0.023893838478592423,0.27533331156629876,0.23941036922638714
ganymede,7,per_well,49_22-Z04,0.1942312175320281,0.8653501060495394,0.6123319058973155,0.26967095677282216,1.0361383726115463,0.21594255372257184,0.189948535820286
ganymede,7,per_well,49_22-Z05Z,5.4267447377113396e-09,0.0031630336928304423,0.001219980635581195,0.17592983838429066,0.002324276276679487,0.0009975951386408872,2.01850097626526e-09
ganymede,7,per_well,49_22-Z06,9.034566467098946e-07,0.0019464304469872492,0.0003328070251568879,0.004402082911819799,0.003573333458562066,0.0008489591133465786,9.679600711594529e-07
ganymede,7,per_well,49_22-Z07,0.6826804820501663,0.9953224515174407,0.674542696581789,0.5259645890607378,0.7495488543325283,0.7566600639345027,0.674088549394864
ganymede,7,per_well,49_22-Z08,2.9679354930597874e-08,0.06250451220743207,0.032904574015918835,0.012655176989043249,0.26194469911275525,0.005455937514622934,1.1038655093291527e-08
ganymede,14,multi_well,,0.19914244807378534,0.032184864279144756,0.022550149579193553,0.05057047011741151,0.020050520125838953,0.2129828367338004,0.19494374834085232
ganymede,14,per_well,49_22-Z01Z,5.492836728558164e-06,0.0008475172744991824,0.0003433154481099388,0.11039748898959277,0.002107331506595563,0.0007574272324292295,1.3164234065597267e-09
ganymede,14,per_well,49_22-Z02Z,0.30401866170037056,0.10693747380064705,0.019554602611114892,0.03681393197972599,0.026889709337779906,0.33551080232874575,0.3051630444950119
ganymede,14,per_well,49_22-Z04,0.23486168322595902,0.7216708391649942,0.6331418838115075,0.27869220856942983,0.9349671686516259,0.2475965087269101,0.22780214740622942
ganymede,14,per_well,49_22-Z05Z,7.340808865639809e-06,0.0015366668643327758,0.0013311865657023255,0.17532326953913735,0.0024143069325111856,0.0010122190331801244,1.6724288075167859e-09
ganymede,14,per_well,49_22-Z06,7.2507078332568185e-06,0.0017251125064662426,0.0002734056543247224,0.002193742604828452,0.003010201124481848,0.0008613308066387249,8.829152629653785e-07
ganymede,14,per_well,49_22-Z07,0.8616532126388698,1.228637773895968,0.6319011260817328,0.6521256520744824,0.626678532144028,0.9044721585085672,0.8347626771700511
ganymede,14,per_well,49_22-Z08,6.88662225584007e-05,0.23489585893206505,0.04153873327597892,0.012176308073885794,0.0921674570589507,0.005525758286750581,9.140633999401212e-09
ganymede,30,multi_well,,0.23811959426533705,0.030138319792380044,0.022617058245852688,0.04398006763181632,0.023655600603380504,0.24238159479174604,0.2253985064321312
ganymede,30,per_well,49_22-Z01Z,0.0038568899084111432,0.001833162039293866,0.0004731846463331418,0.10860948578194808,0.007219500496549482,0.0007095642575736381,1.2312576273837391e-09
ganymede,30,per_well,49_22-Z02Z,0.36451536143132335,0.062222564969202455,0.022883698410228807,0.038413696372393114,0.03326663783274004,0.37967605366678275,0.3534760175822536
ganymede,30,per_well,49_22-Z04,0.28148885778578286,0.8764870708205222,0.571279644555465,0.28665340538166834,1.1016473649135945,0.27463106824828837,0.26655200085969644
ganymede,30,per_well,49_22-Z05Z,0.0051544753708514385,0.0034384401434681836,0.0007156858046416508,0.17495662851174057,0.007254309724190084,0.0009482491351954042,1.6369123348211876e-09
ganymede,30,per_well,49_22-Z06,0.00425999027825235,0.0012716239265823485,0.0029725946422540436,0.0020024783857219095,0.0022410297608087886,0.0008069620687681246,8.328918449834131e-07
ganymede,30,per_well,49_22-Z07,1.0044054603285077,1.1376140602140874,0.6660339469030838,0.7881709735597897,0.654753362201972,1.0411090417875364,0.9603211373705636
ganymede,30,per_well,49_22-Z08,0.030097753089516115,0.20387269510440467,0.022891739504435044,0.05744691056322457,0.09986147092883105,0.005154507652800912,8.897188527428587e-09
ganymede,90,multi_well,,0.6896514609388865,0.030439563720317312,0.02421798117810973,0.051777362703116406,0.030124481411605553,0.2844525161342123,0.2513226611030394
ganymede,90,per_well,49_22-Z01Z,0.2911277983603876,0.0031018377893926824,0.00039601797147793887,0.10602857255935204,0.006368538334613003,0.0008851342502093192,8.248315587682239e-08
ganymede,90,per_well,49_22-Z02Z,0.41871499099062914,0.0684787945443109,0.02841082424085943,0.037732643612711635,0.028939961552546713,0.39565267628162665,0.37915025477297426
ganymede,90,per_well,49_22-Z04,0.6007429072211912,0.986972114204317,0.5656556067025482,0.31714943962304915,1.0806135033219288,0.3197660514269326,0.3030048469516981
ganymede,90,per_well,49_22-Z05Z,0.389072828640059,0.0016729770666702106,0.0005541674875993762,0.1722456701322232,0.003973268593858554,0.0011829251016362786,1.097320292057924e-07
ganymede,90,per_well,49_22-Z06,0.3162813273312609,0.0012864938132706508,0.0009284487479240801,0.001983682396312289,0.0026243214233208473,0.0010064081280782896,8.987753487526351e-07
ganymede,90,per_well,49_22-Z07,1.5311259026018855,1.0555319765062041,0.8297981989280884,0.8425072966310222,0.8176405172333727,1.2829321777228762,1.081515550047056
ganymede,90,per_well,49_22-Z08,2.1033585766009573,0.05692764723717318,0.024328618084624838,0.045297095523278506,0.11678020636510858,0.0063283064143444005,5.870645491213437e-07
