model,dataset,horizon,mode,well,file_path,status,raw_status,reason,n_train,n_test,n_cv_folds,has_test_predictions,has_test_targets,cv_fold_count,mae,rmse,r2,r2_prod,mase,mase_denominator_source,mase_naive_mae,mase_scale_n,mase_valid,mase_warning,mase_denominator_sample_size,mase_flat,mase_group_macro,mase_group_weighted,mase_aggregation,raw_train_naive_mae,recomputed_mase,effective_mase,effective_mase_source,recompute_error
chronos,ganymede,7,multi_well,,/app/results/chronos/ganymede_h7_multi_well.json,ok,ok,,38896,9739,3,True,True,3,0.27606339204799757,1.1384804539499649,0.4694550149209443,-0.036865859224816555,0.15899976247842273,grouped_train,,,True,,38896,,0.15934785315825814,0.15899976247842273,group_weighted,1.4520591726559235,0.19011855525354193,0.19011855525354193,raw_train_recomputed,
deeponet,ganymede,7,multi_well,,/app/results/deeponet/ganymede_h7_multi_well.json,ok,ok,,38896,9739,3,True,True,3,0.6533688231145292,1.319505177621481,0.28732240069519455,-0.2717431050181558,0.02783043714932143,grouped_train,,,True,,38896,,0.02982312171667392,0.02783043714932143,group_weighted,1.4520591726559235,0.4499601913050618,0.4499601913050618,raw_train_recomputed,
lstm,ganymede,7,multi_well,,/app/results/lstm/ganymede_h7_multi_well.json,ok,ok,,38896,9739,3,True,True,3,0.5009742820358909,1.2084962361796363,0.4021922853087423,-0.0569282036269283,0.0219046290860478,grouped_train,,,True,,38896,,0.02279270221854366,0.0219046290860478,group_weighted,1.4520591726559235,0.3450095502097011,0.3450095502097011,raw_train_recomputed,
patchtst,ganymede,7,multi_well,,/app/results/patchtst/ganymede_h7_multi_well.json,ok,ok,,38896,9739,3,True,True,3,0.9640480109308747,1.9113331244576133,-0.49535285370980553,-0.4646232929115648,0.04318393698157531,grouped_train,,,True,,38896,,0.04327735175288322,0.04318393698157531,group_weighted,1.4520591726559235,0.6639178547851873,0.6639178547851873,raw_train_recomputed,
tcn,ganymede,7,multi_well,,/app/results/tcn/ganymede_h7_multi_well.json,ok,ok,,38896,9739,3,True,True,3,0.5180754480961648,1.178706798038851,0.431300969936424,-0.1719148183050423,0.019775951079374587,grouped_train,,,True,,38896,,0.02058558712907111,0.019775951079374587,group_weighted,1.4520591726559235,0.3567867328358021,0.3567867328358021,raw_train_recomputed,
timesfm,ganymede,7,multi_well,,/app/results/timesfm/ganymede_h7_multi_well.json,ok,ok,,38896,9739,3,True,True,3,0.31266590900981595,1.0736738807503061,0.5281371000185522,0.1774094979252846,0.17884979618575175,grouped_train,,,True,,38896,,0.1794263687573891,0.17884979618575175,group_weighted,1.4520591726559235,0.21532587300690156,0.21532587300690156,raw_train_recomputed,
tirex,ganymede,7,multi_well,,/app/results/tirex/ganymede_h7_multi_well.json,ok,ok,,38896,9739,3,True,True,3,0.27260659104931606,1.0740359070531624,0.5278188365601989,0.16153127944980894,0.1572623072263178,grouped_train,,,True,,38896,,0.15763540805272025,0.1572623072263178,group_weighted,1.4520591726559235,0.1877379353285572,0.1877379353285572,raw_train_recomputed,
chronos,ganymede,7,per_well,49_22-Z01Z,/app/results/chronos/ganymede_h7_per_well_49_22-Z01Z.json,ok,ok,,6083,1523,3,True,True,3,1.3969838619232178e-08,1.3969838619232178e-08,0.0,0.0,4.060618299344939e-09,grouped_train,,,True,,6083,4.060618299344939e-09,4.060618299344939e-09,4.060618299344939e-09,group_weighted,2.1786874641243488,6.4120434203016315e-09,6.4120434203016315e-09,raw_train_recomputed,
deeponet,ganymede,7,per_well,49_22-Z01Z,/app/results/deeponet/ganymede_h7_per_well_49_22-Z01Z.json,ok,ok,,6083,1523,3,True,True,3,0.4317487989153181,0.5435017502128879,0.0,0.0,0.005617622763273522,grouped_train,,,True,,6083,0.005617622763273522,0.005617622763273522,0.005617622763273522,group_weighted,2.1786874641243488,0.19816922161841383,0.19816922161841383,raw_train_recomputed,
lstm,ganymede,7,per_well,49_22-Z01Z,/app/results/lstm/ganymede_h7_per_well_49_22-Z01Z.json,ok,ok,,6083,1523,3,True,True,3,0.06228181405850618,0.06511922805626845,0.0,0.0,0.0008103687544053984,grouped_train,,,True,,6083,0.0008103687544053984,0.0008103687544053984,0.0008103687544053984,group_weighted,2.1786874641243488,0.028586851067019973,0.028586851067019973,raw_train_recomputed,
patchtst,ganymede,7,per_well,49_22-Z01Z,/app/results/patchtst/ganymede_h7_per_well_49_22-Z01Z.json,ok,ok,,6083,1523,3,True,True,3,8.492786407470703,8.492787220183388,0.0,0.0,0.11050238093559799,grouped_train,,,True,,6083,0.11050238093559799,0.11050238093559799,0.11050238093559799,group_weighted,2.1786874641243488,3.898120564476694,3.898120564476694,raw_train_recomputed,
tcn,ganymede,7,per_well,49_22-Z01Z,/app/results/tcn/ganymede_h7_per_well_49_22-Z01Z.json,ok,ok,,6083,1523,3,True,True,3,0.1829991603186135,0.22608548295697667,0.0,0.0,0.002381061050426724,grouped_train,,,True,,6083,0.002381061050426724,0.002381061050426724,0.002381061050426724,group_weighted,2.1786874641243488,0.0839951408047248,0.0839951408047248,raw_train_recomputed,
timesfm,ganymede,7,per_well,49_22-Z01Z,/app/results/timesfm/ganymede_h7_per_well_49_22-Z01Z.json,ok,ok,,6083,1523,3,True,True,3,0.0025679848955145906,0.0030040059167645004,0.0,0.0,0.000746437145294745,grouped_train,,,True,,6083,0.000746437145294745,0.000746437145294745,0.000746437145294745,group_weighted,2.1786874641243488,0.0011786843858059774,0.0011786843858059774,raw_train_recomputed,
tirex,ganymede,7,per_well,49_22-Z01Z,/app/results/tirex/ganymede_h7_per_well_49_22-Z01Z.json,ok,ok,,6083,1523,3,True,True,3,5.117414069167135e-09,6.278788186130562e-09,0.0,0.0,1.4874806918655327e-09,grouped_train,,,True,,6083,1.4874806918655327e-09,1.4874806918655327e-09,1.4874806918655327e-09,group_weighted,2.1786874641243488,2.3488518447155566e-09,2.3488518447155566e-09,raw_train_recomputed,
chronos,ganymede,7,per_well,49_22-Z02Z,/app/results/chronos/ganymede_h7_per_well_49_22-Z02Z.json,ok,ok,,6083,1523,3,True,True,3,1.1270775593005675,2.4367640833399284,0.313540787634608,-0.681379748565812,0.24303809627773448,grouped_train,,,True,,6083,0.24303809627773448,0.24303809627773448,0.24303809627773448,group_weighted,2.6656935411135314,0.4228083768510604,0.4228083768510604,raw_train_recomputed,
deeponet,ganymede,7,per_well,49_22-Z02Z,/app/results/deeponet/ganymede_h7_per_well_49_22-Z02Z.json,ok,ok,,6083,1523,3,True,True,3,9.771750965839411,14.453138111158413,-23.149718727621458,-43.77744691224838,0.11148580665433135,grouped_train,,,True,,6083,0.11148580665433133,0.11148580665433133,0.11148580665433135,group_weighted,2.6656935411135314,3.665744323241857,3.665744323241857,raw_train_recomputed,
lstm,ganymede,7,per_well,49_22-Z02Z,/app/results/lstm/ganymede_h7_per_well_49_22-Z02Z.json,ok,ok,,6083,1523,3,True,True,3,1.7367110840543643,2.77218285168152,0.11155301712547283,-0.8802399306484456,0.019814118964777243,grouped_train,,,True,,6083,0.019814118964777243,0.019814118964777243,0.019814118964777243,group_weighted,2.6656935411135314,0.6515044048645193,0.6515044048645193,raw_train_recomputed,
patchtst,ganymede,7,per_well,49_22-Z02Z,/app/results/patchtst/ganymede_h7_per_well_49_22-Z02Z.json,ok,ok,,6083,1523,3,True,True,3,3.3630062674348946,3.83257670901297,-0.6981243262868715,-0.6684001071123242,0.03836850405001538,grouped_train,,,True,,6083,0.03836850405001538,0.03836850405001538,0.03836850405001538,group_weighted,2.6656935411135314,1.2615877315102308,1.2615877315102308,raw_train_recomputed,
tcn,ganymede,7,per_well,49_22-Z02Z,/app/results/tcn/ganymede_h7_per_well_49_22-Z02Z.json,ok,ok,,6083,1523,3,True,True,3,2.0942992317823026,3.1731142806160633,-0.16401666661636072,-2.7926634693101158,0.023893838478592423,grouped_train,,,True,,6083,0.023893838478592427,0.023893838478592427,0.023893838478592423,group_weighted,2.6656935411135314,0.7856489125555888,0.7856489125555888,raw_train_recomputed,
timesfm,ganymede,7,per_well,49_22-Z02Z,/app/results/timesfm/ganymede_h7_per_well_49_22-Z02Z.json,ok,ok,,6083,1523,3,True,True,3,1.2768450771588615,2.350535409004382,0.3612640445966837,-0.5029547995198254,0.27533331156629876,grouped_train,,,True,,6083,0.27533331156629876,0.27533331156629876,0.27533331156629876,group_weighted,2.6656935411135314,0.4789916985826845,0.4789916985826845,raw_train_recomputed,
tirex,ganymede,7,per_well,49_22-Z02Z,/app/results/tirex/ganymede_h7_per_well_49_22-Z02Z.json,ok,ok,,6083,1523,3,True,True,3,1.1102541484301631,2.3052462042366018,0.3856407530962317,-0.42473042939933525,0.23941036922638714,grouped_train,,,True,,6083,0.23941036922638714,0.23941036922638714,0.23941036922638714,group_weighted,2.6656935411135314,0.4164972947214256,0.4164972947214256,raw_train_recomputed,
chronos,ganymede,7,per_well,49_22-Z04,/app/results/chronos/ganymede_h7_per_well_49_22-Z04.json,ok,ok,,6083,1523,3,True,True,3,0.2132129059535544,0.6062134756302894,0.3802072671751967,-1.0612607418263225,0.1942312175320281,grouped_train,,,True,,6083,0.1942312175320281,0.1942312175320281,0.1942312175320281,group_weighted,0.5644844258539671,0.37771264571383034,0.37771264571383034,raw_train_recomputed,
deeponet,ganymede,7,per_well,49_22-Z04,/app/results/deeponet/ganymede_h7_per_well_49_22-Z04.json,ok,ok,,6083,1523,3,True,True,3,3.0967378274840494,3.942354941450064,-25.212398048608048,-42.79312936782765,0.8653501060495394,grouped_train,,,True,,6083,0.8653501060495394,0.8653501060495394,0.8653501060495394,group_weighted,0.5644844258539671,5.485957956765985,5.485957956765985,raw_train_recomputed,
lstm,ganymede,7,per_well,49_22-Z04,/app/results/lstm/ganymede_h7_per_well_49_22-Z04.json,ok,ok,,6083,1523,3,True,True,3,2.1912880841076188,3.015977012241284,-14.340918524679822,-35.3689392273528,0.6123319058973155,grouped_train,,,True,,6083,0.6123319058973155,0.6123319058973155,0.6123319058973155,group_weighted,0.5644844258539671,3.881928329187435,3.881928329187435,raw_train_recomputed,
patchtst,ganymede,7,per_well,49_22-Z04,/app/results/patchtst/ganymede_h7_per_well_49_22-Z04.json,ok,ok,,6083,1523,3,True,True,3,0.965043220049489,1.0572944302927014,-0.8853292183630836,-0.675795326487953,0.26967095677282216,grouped_train,,,True,,6083,0.26967095677282216,0.26967095677282216,0.26967095677282216,group_weighted,0.5644844258539671,1.7096011437154282,1.7096011437154282,raw_train_recomputed,
tcn,ganymede,7,per_well,49_22-Z04,/app/results/tcn/ganymede_h7_per_well_49_22-Z04.json,ok,ok,,6083,1523,3,True,True,3,3.707919916508625,4.376700924914174,-31.306436076580113,-38.86107503338524,1.0361383726115463,grouped_train,,,True,,6083,1.0361383726115463,1.0361383726115463,1.0361383726115463,group_weighted,0.5644844258539671,6.568684177422938,6.568684177422938,raw_train_recomputed,
