dataset,horizon,mode,well,chronos,deeponet,lstm,patchtst,tcn,timesfm,tirex
ganymede,7,multi_well,,-0.036865859224816555,-0.2717431050181558,-0.0569282036269283,-0.4646232929115648,-0.1719148183050423,0.1774094979252846,0.16153127944980894
ganymede,7,per_well,49_22-Z01Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,7,per_well,49_22-Z02Z,-0.681379748565812,-43.77744691224838,-0.8802399306484456,-0.6684001071123242,-2.7926634693101158,-0.5029547995198254,-0.42473042939933525
ganymede,7,per_well,49_22-Z04,-1.0612607418263225,-42.79312936782765,-35.3689392273528,-0.675795326487953,-38.86107503338524,-0.539436362465944,-0.6666482073198987
ganymede,7,per_well,49_22-Z05Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,7,per_well,49_22-Z06,-0.028445074720583996,-3183255.372026507,-98603.99177686076,-12374066.39201228,-9254400.348801764,-1109.4549531919397,-0.10751021734752908
ganymede,7,per_well,49_22-Z07,-0.08871375655672775,-0.2310705149458545,0.26605988864175056,-0.47927101187018595,-0.0838836351202954,0.42109230567758804,0.2115356008906576
ganymede,7,per_well,49_22-Z08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,14,multi_well,,-0.265033009563876,-0.5113483320784169,-0.6706983532866069,-0.511433897826622,-0.2553881745643871,-0.030891210776896605,-0.060709576676230004
ganymede,14,per_well,49_22-Z01Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,14,per_well,49_22-Z02Z,-1.0628755517433812,-49.17319520459,-1.561669019174499,-0.6356628584059261,-1.8935868303837977,-0.9130427926398661,-0.8629585909207822
ganymede,14,per_well,49_22-Z04,-1.3233459323223191,-37.331190446216844,-17.28655346887156,-1.1793213566896998,-67.47829651172532,-0.6921580597776837,-0.8930498494333965
ganymede,14,per_well,49_22-Z05Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,14,per_well,49_22-Z06,-362.2592421468883,-3325759.21996967,-77955.64691361455,-3298068.0602202043,-7881850.640602178,-1072.1768950509288,-0.054534449563995224
ganymede,14,per_well,49_22-Z07,-0.27877839643602376,-3.1304594311927456,-0.128214750496902,-1.7774047761677059,-0.5301688745070938,0.34620573783613384,0.13629645556939562
ganymede,14,per_well,49_22-Z08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,30,multi_well,,-0.5158947461578895,-0.20199121919447371,-0.9705215103630216,-1.0916384107564348,-0.47705923980188203,-0.2294907331758722,-0.2737270579229456
ganymede,30,per_well,49_22-Z01Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,30,per_well,49_22-Z02Z,-1.5157261303782832,-16.025312253576807,-2.8334159828322636,-0.8152604354610136,-3.092473717993034,-1.311270889756937,-1.279356755216885
ganymede,30,per_well,49_22-Z04,-1.645884937564062,-38.567968131179846,-6.769219546187939,-1.3534355352933471,-55.9357880035482,-0.8872682591194183,-1.1086164437061576
ganymede,30,per_well,49_22-Z05Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,30,per_well,49_22-Z06,-1123505.4632625973,-2046031.5028603722,-7893013.6427336885,-3450680.34505927,-3944372.0158540155,-1012.7165758245767,-0.025748587421608127
ganymede,30,per_well,49_22-Z07,-0.4902064899413341,-4.3407510773248354,-0.05697370020389614,-2.6479292397452334,-0.5663059184593129,0.2975468842734783,0.06423812155973152
ganymede,30,per_well,49_22-Z08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,90,multi_well,,-0.5575562304470205,-0.625371361598412,-0.8984260810573583,-2.7388126745477455,-0.7393089911259665,-0.4340819483858813,-0.42686288478861645
ganymede,90,per_well,49_22-Z01Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,90,per_well,49_22-Z02Z,-1.5825009880463616,-22.046407192459718,-2.9183624483001274,-1.056185433890262,-1.6388331914872771,-1.7081497085867805,-1.7120701493290005
ganymede,90,per_well,49_22-Z04,-1.9170609363485793,-35.97285088123517,-2.8303427508220356,-1.3366444487386642,-40.32158244239845,-1.0741450574008735,-1.2137713885831976
ganymede,90,per_well,49_22-Z05Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ganymede,90,per_well,49_22-Z06,-269036129.5449971,-1629275.3381113661,-786453.6918147001,-3001198.588285999,-6558866.979180726,-1838.1304799548893,-0.008978179024619948
ganymede,90,per_well,49_22-Z07,-0.45396889243448224,-0.2941125381273879,0.30310480247054894,-2.647361820203241,0.1985576257030225,0.17711414396929803,0.23134093568413772
ganymede,90,per_well,49_22-Z08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inner_mongolia,7,multi_well,,0.4329980261956158,0.40111852015720484,0.366529107769351,0.47192127220235003,0.3232428552385668,0.4507741205519573,0.4518653571214758
inner_mongolia,7,per_well,54-16X,0.2801304355673827,0.18764436824154174,-0.30751020697271736,-0.17406615147836146,0.23328175398411177,0.11395129372776636,0.2121714968303059
inner_mongolia,7,per_well,54-21X,0.05497012160666315,-5.39278776964329,-0.7683246728563278,0.021151815410947905,-0.9167746771982395,0.168455756811819,0.09160244871027401
inner_mongolia,7,per_well,54-22X,0.24468650481192067,-2.023907831966285,-0.4647663844316299,0.17395516967723346,-1.2509111792681251,0.12879063220317155,0.26929053405975534
inner_mongolia,7,per_well,55-15,-0.17986395955046164,-0.2432393243453137,-0.0634740309563937,-0.1367190993132541,-0.3118319903865421,-0.07489458038965058,-0.2215268220557225
inner_mongolia,7,per_well,55-16X,-0.21309210321481942,-7.604264101764118,-1.0818187402277504,-0.4421685204118324,-2.47339080644093,-0.2516112925142939,-0.2686840916790778
inner_mongolia,7,per_well,55-21,0.013195338569314208,-0.858557887538951,-0.16451571340307503,0.17825257099837366,-0.20595732258415267,0.10989523298653114,0.1257195417667193
inner_mongolia,7,per_well,55-22,0.2869579144788521,-0.6076073835414106,0.0036734931095473433,0.002479700847904276,-0.32888938064055817,0.25370477413696224,0.2916668626887702
inner_mongolia,7,per_well,56-21,-0.1663482112740975,-14.341351470551444,-1.7315089990427825,-1.3576140669444254,-1.4743138868226735,-0.24570318788327827,-0.37539779733805156
inner_mongolia,7,per_well,56-23,0.6653261859120568,-2.0337502961961254,-0.1302698119151191,0.5993692483325701,-0.6614661095520258,0.5740893292616625,0.6794556792473885
inner_mongolia,7,per_well,57-14X,-1.1206321069538343,-2.399570353416222,-0.8996173882537686,-21.09203967297269,-1.5023141366992765,-416.79936403934914,-0.34368618880988056
inner_mongolia,7,per_well,57-15X,-1.7266441480945822,-5.226333912229453,-0.15326094479223706,-18.429454073236187,-0.6430576746436354,-384.0568615315161,-0.37956165493845195
inner_mongolia,7,per_well,57-21X,-0.04768188751121816,-1.549456538510591,-2.7566746661008046,-0.020419387890455942,-0.28399028072663546,-0.108980359064907,-0.25891303683456846
inner_mongolia,7,per_well,57-22X,-0.08505769745572667,-2.355697506455032,-0.5932290624883365,-0.1754611420522545,-0.09310811201367519,-0.014452323520693033,-0.2514802226479502
inner_mongolia,7,per_well,57-23X,0.17147172370296615,-0.5352064288845555,0.11851930446186187,0.21162828973014014,-0.00486831847383562,0.3053949003067974,0.2129092113163863
inner_mongolia,7,per_well,58-18X,0.5457904428756875,0.5294083840506392,0.618054938623295,0.6063933801136152,0.6748357577964501,0.383649343728103,0.4525861251138019
inner_mongolia,7,per_well,58-24X,-0.11621159215273513,-1.0540362672004409,-0.33427632423020537,-0.23904896721449354,-0.4895301764915272,0.08369782663615788,-0.1207558317362436
inner_mongolia,7,per_well,58-25,0.004136618246822432,-0.5172041302986046,-0.343303596180748,0.04207777996121287,-0.28596581657158304,0.06096397879407456,0.06107384530224669
inner_mongolia,7,per_well,59-18X,0.32682921229915163,-0.6940903634225422,0.33842592803165394,0.3168840198091647,-0.26816839762805,0.3348115574564925,0.3237779349466289
inner_mongolia,7,per_well,59-19X,-0.18699091884953356,-0.1698818049213573,-0.04932846028640303,-0.40926562895352725,-0.0893131055724179,0.07644627438659413,0.10159792231280462
inner_mongolia,7,per_well,59-20,-0.028275898974796876,-2.9076657263071266,-0.5964247312561088,-0.16329496292778978,-0.8877089748508402,0.12577287563608563,0.09726531044096298
inner_mongolia,7,per_well,59-24X,0.5299540050114147,-0.39405409158594673,0.1632812485420051,0.46376807166720146,0.06565469698368576,0.4692102611326151,0.5254095814466484
inner_mongolia,7,per_well,59-31X,0.07053078343434394,-5.565903796051028,-0.20156380028803134,-0.07782118712590402,-0.43801441771874194,0.0715355069779322,0.07232430955752023
inner_mongolia,7,per_well,59-32X,-0.16156053452190555,-2.9059569182996348,-1.0583243983755302,-0.255534450850915,-0.5949788870636061,-0.13061398979279337,-0.24919375635719487
inner_mongolia,7,per_well,60-28X,0.035905250461183424,-3.2584787923953513,-0.5931215060460238,0.17341717512407562,-0.15872879002991436,0.1189652737473893,0.09399365904437285
inner_mongolia,7,per_well,60-29X,0.008497694523101895,-5.57120872438755,-2.211481640538481,-0.7048139805066462,-0.24368699045870246,-0.17261090556171932,-0.18300708806783383
inner_mongolia,7,per_well,60-30X,0.4908153802705486,-0.4388094772509803,0.13018364427582374,0.24093763400531054,-0.5045881887872137,0.4469800878130622,0.5053560371767305
inner_mongolia,7,per_well,60-31,0.007666705620630432,-0.06477447692265659,-1.2583721501412994,-0.13212337742505187,-0.2317903417592111,0.15961668693512765,0.17192246067531314
inner_mongolia,7,per_well,60-32,0.5178829192628737,-0.3281037560323785,-0.1348894806266041,0.12369526993120639,-0.2528149318606856,0.39321050516560285,0.343823498479335
inner_mongolia,7,per_well,60-34H,0.4723066551828802,-1.687778432207987,-0.25395090332771564,0.245521514762698,-0.431061395309698,0.4291008211623458,0.4894371303281333
inner_mongolia,14,multi_well,,0.26436335613613604,0.08026671414324305,0.2575463861219086,0.3025206892849843,0.13658390238911589,0.2726472900236645,0.27887700062926013
inner_mongolia,14,per_well,54-16X,0.06968437814353268,-1.0448718342479695,0.03486631446306088,-0.08408964640616912,0.1604380815473182,-0.45599670009359405,0.12674152297950037
inner_mongolia,14,per_well,54-21X,-0.336453099362648,-5.690167816672745,-0.7710278896389544,-0.09828960916221074,-0.7430301431405255,-0.11877389992033582,-0.25291681859931114
inner_mongolia,14,per_well,54-22X,-0.1442089017599777,-7.331259063959388,-1.1799259501832142,-0.5142631978026946,-1.6664407554663687,-0.2414777917518094,-0.0767894844937913
inner_mongolia,14,per_well,55-15,-0.21421519246745002,-2.0819548106989547,-0.07666094180704297,-0.08849464967951093,-0.32426918341315836,-0.21152465195805492,-0.2724695044341354
inner_mongolia,14,per_well,55-16X,-0.39681573101404766,-7.464587163798342,-0.7477581795461559,-0.536779867972218,-2.0645161392843074,-0.42829736602507107,-0.5110717555395317
inner_mongolia,14,per_well,55-21,-0.2383333278073667,-0.9123356766708479,-0.4109605640624452,-0.014059944028643079,-0.24847923938546668,-0.20033088546600553,-0.2036903463916262
inner_mongolia,14,per_well,55-22,0.030296355466670866,-2.0725948945935047,-0.2790333412705126,-0.19961245228448798,-0.5715750022889274,-0.06979708139476792,0.01824478019322129
inner_mongolia,14,per_well,56-21,-0.1824315982590019,-39.575641640916245,-8.224593124180965,-0.585398926359018,-1.3828904631978665,-0.3601552882440009,-0.292258961144404
inner_mongolia,14,per_well,56-23,0.4878531620061973,-3.817695199346291,-1.1431662942879788,0.45673887678517144,-0.3536931442039095,0.3685226216768861,0.501368869618144
inner_mongolia,14,per_well,57-14X,-1.8623478754064227,0.2292244241268332,-1.029044980728802,-12.84701576402298,-1.4909911866594174,-2535.9894309318556,-0.596355270389131
inner_mongolia,14,per_well,57-15X,-1.5896648801363082,-0.61865080211074,-0.5952158734047543,-10.598178545712674,-0.599257477587833,-2161.6689822176436,-0.4945406500278011
inner_mongolia,14,per_well,57-21X,-0.10545654357263357,-6.943612653966023,-2.576819219835781,-0.0809502339885999,-0.07822302779182633,-0.15403489136813509,-0.18386258567945557
inner_mongolia,14,per_well,57-22X,-0.09900236550385277,-1.938780435032628,-0.8501171593036358,-0.5250632749775932,-0.17870873900333084,-0.23359048714400288,-0.1913302989393395
inner_mongolia,14,per_well,57-23X,0.010990015244587092,-0.3139839749420126,0.019070591148608207,-0.0017771333856149152,-0.18958542339031403,0.15787683043931167,0.09226869497098933
inner_mongolia,14,per_well,58-18X,0.2017785779542146,0.26520777843011756,0.3893469876664051,0.41315611330804636,0.6888206549154374,0.16919006151395066,0.08540984047349043
inner_mongolia,14,per_well,58-24X,-0.3407739253779205,-2.0285373213043907,-0.3116576705232392,-0.8097565880344113,-0.2434444971187546,-0.08039000038559196,-0.410050185185145
inner_mongolia,14,per_well,58-25,-0.2788625494916399,-2.921665467507955,-0.26534770309138733,-0.3256102922335691,-0.3680444611939131,-0.20232604847649616,-0.24880447436159248
inner_mongolia,14,per_well,59-18X,-0.07380393616726377,-0.9321585123698535,0.0027849656848896176,-0.07429341384287635,-0.36907722953863753,0.13665024998018083,-0.031003261045067454
